function, code1, hexcode1, code2, hexcode2

"CURSOR DOWN","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1508,341,85,21,3648 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E4 0155 0055 0015 0E40",,

"CURSOR ENTER","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,65,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1508,341,85,21,3648 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E4 0155 0055 0015 0E40",,

"CURSOR LEFT","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1508,341,85,21,3648 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E4 0155 0055 0015 0E40",,

"CURSOR RIGHT","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,21,21,65,21,65,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1508,341,86,21,3648 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E4 0155 0056 0015 0E40",,

"CURSOR UP","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,21,21,65,21,21,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1508,341,85,21,3648 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0041 0015 0015 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E4 0155 0055 0015 0E40",,

"MENU MAIN","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1508,341,85,21,3648 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E4 0155 0055 0015 0E40",,

"OUTPUT RESOLUTION","sendir,1:1,1,38000,1,69,342,171,22,21,22,63,22,63,22,63,22,21,21,64,21,64,21,64,21,64,21,64,21,64,21,21,22,21,22,21,22,21,21,64,21,64,21,64,21,64,21,21,22,63,22,21,22,21,21,21,22,63,22,21,22,21,21,21,22,21,22,21,21,22,21,21,22,1571,343,85,22,1571 ","0000 006D 0022 0002 0156 00AB 0016 0015 0016 003F 0016 003F 0016 003F 0016 0015 0015 0040 0015 0040 0015 0040 0015 0040 0015 0040 0015 0040 0015 0015 0016 0015 0016 0015 0016 0015 0015 0040 0015 0040 0015 0040 0015 0040 0015 0015 0016 003F 0016 0015 0016 0015 0015 0015 0016 003F 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0015 0016 0015 0015 0016 0623 0157 0055 0016 0623",,

"PAIR","sendir,1:1,1,38000,1,69,343,171,21,22,21,21,22,21,22,21,21,21,22,63,22,63,22,63,22,63,22,63,22,63,22,21,22,21,21,21,22,21,22,63,22,21,21,64,21,22,21,21,22,21,22,21,21,21,22,21,22,63,22,21,21,21,22,21,22,21,21,22,21,21,22,21,22,1825,342,85,22,1825 ","0000 006D 0022 0002 0157 00AB 0015 0016 0015 0015 0016 0015 0016 0015 0015 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 0015 0015 0040 0015 0016 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 0015 0015 0015 0016 0015 0016 0015 0015 0016 0015 0015 0016 0015 0016 0721 0156 0055 0016 0721",,

"PLAY PAUSE TOGGLE","sendir,1:1,1,38000,1,69,341,172,21,21,21,65,21,65,21,65,21,21,21,65,21,65,21,65,21,65,21,65,21,65,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,65,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,21,21,21,21,21,21,65,21,21,21,21,21,1509,341,86,21,3649 ","0000 006E 0022 0002 0155 00AC 0015 0015 0015 0041 0015 0041 0015 0041 0015 0015 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0041 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0015 0041 0015 0041 0015 0015 0015 0015 0015 0015 0015 0041 0015 0015 0015 0015 0015 05E5 0155 0056 0015 0E41",,

"REPLAY 10 SEC","sendir,1:1,1,38000,1,69,342,171,22,63,22,21,22,63,21,22,21,21,22,63,22,63,22,63,22,63,22,63,22,63,22,21,22,21,21,21,22,21,22,63,22,21,21,64,21,64,21,21,22,21,22,63,22,21,21,21,22,63,22,21,22,21,22,21,21,21,22,21,22,21,21,21,22,1654,342,85,21,3655 ","0000 006D 0022 0002 0156 00AB 0016 003F 0016 0015 0016 003F 0015 0016 0015 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 0015 0015 0040 0015 0040 0015 0015 0016 0015 0016 003F 0016 0015 0015 0015 0016 003F 0016 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0015 0015 0016 0676 0156 0055 0015 0E47",,

"REPLAY 30 SEC","sendir,1:1,1,38000,1,69,343,171,21,64,21,21,22,63,22,21,22,21,21,64,21,64,21,64,21,64,21,64,21,64,21,21,22,21,22,21,21,21,22,63,22,63,22,21,22,63,22,21,22,21,21,64,21,21,22,21,22,63,22,21,21,21,22,21,22,21,21,21,22,21,22,21,22,1655,342,85,22,1655 ","0000 006D 0022 0002 0157 00AB 0015 0040 0015 0015 0016 003F 0016 0015 0016 0015 0015 0040 0015 0040 0015 0040 0015 0040 0015 0040 0015 0040 0015 0015 0016 0015 0016 0015 0015 0015 0016 003F 0016 003F 0016 0015 0016 003F 0016 0015 0016 0015 0015 0040 0015 0015 0016 0015 0016 003F 0016 0015 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0016 0677 0156 0055 0016 0677",,

"SKIP 30 SEC","sendir,1:1,1,38000,1,69,342,171,22,63,22,21,22,63,22,21,21,21,22,63,22,63,22,63,22,63,22,63,22,63,22,21,22,21,21,21,22,21,22,63,22,63,22,63,22,63,22,63,22,21,21,64,21,21,22,21,22,63,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,1571,342,85,21,3655 ","0000 006D 0022 0002 0156 00AB 0016 003F 0016 0015 0016 003F 0016 0015 0015 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0015 0040 0015 0015 0016 0015 0016 003F 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0623 0156 0055 0015 0E47",,

"STOP","sendir,1:1,1,38000,1,69,343,171,21,64,21,21,22,63,22,21,22,21,21,64,21,64,21,64,21,64,21,64,21,64,21,21,22,21,22,21,22,21,21,64,21,64,21,21,22,21,22,21,21,64,21,64,21,21,22,21,22,63,22,21,21,21,22,21,22,21,22,21,21,21,22,21,22,1654,342,85,21,3654 ","0000 006D 0022 0002 0157 00AB 0015 0040 0015 0015 0016 003F 0016 0015 0016 0015 0015 0040 0015 0040 0015 0040 0015 0040 0015 0040 0015 0040 0015 0015 0016 0015 0016 0015 0016 0015 0015 0040 0015 0040 0015 0015 0016 0015 0016 0015 0015 0040 0015 0040 0015 0015 0016 0015 0016 003F 0016 0015 0015 0015 0016 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0676 0156 0055 0015 0E46",,

"UN PAIR","sendir,1:1,1,38000,1,69,343,171,21,21,22,21,22,21,21,22,21,21,22,63,22,63,22,63,22,63,22,63,22,63,22,21,22,21,21,21,22,21,22,63,22,21,21,21,22,63,22,21,22,21,21,22,21,21,22,21,22,63,22,21,21,21,22,21,22,21,21,21,22,21,22,21,22,1826,342,85,22,1826 ","0000 006D 0022 0002 0157 00AB 0015 0015 0016 0015 0016 0015 0015 0016 0015 0015 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 003F 0016 0015 0016 0015 0015 0015 0016 0015 0016 003F 0016 0015 0015 0015 0016 003F 0016 0015 0016 0015 0015 0016 0015 0015 0016 0015 0016 003F 0016 0015 0015 0015 0016 0015 0016 0015 0015 0015 0016 0015 0016 0015 0016 0722 0156 0055 0016 0722",,
